gamesPlayed,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,groundIntoDoublePlay,numberOfPitches,plateAppearances,totalBases,rbi,leftOnBase,sacBunts,sacFlies,babip,groundOutsToAirouts,catchersInterference,atBatsPerHomeRun,player_numeric
205,132,175,84,40,3,21,227,43,0,156,6,.228,684,.277,.387,.664,0,0,0,16,2762,739,265,87,297,0,6,.305,0.75,0,32.57,8960.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4736.0
1446,1503,1327,769,328,17,263,1246,432,57,1587,125,.283,5607,.345,.488,.833,6,11,.647,187,24224,6220,2738,960,2307,0,56,.319,1.13,0,21.32,890048.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600192.0
285,3,0,0,0,0,0,10,1,0,0,0,.000,12,.077,.000,.077,0,0,0,0,55,14,0,0,3,1,0,.000,3.00,0,0,526080.0
57,36,39,10,4,1,2,38,14,2,33,4,.228,145,.313,.310,.623,0,0,0,4,623,164,45,14,63,1,0,.295,0.92,0,72.50,388288.0
64,1,0,0,0,0,0,1,0,0,0,0,.000,2,.000,.000,.000,0,0,0,0,6,2,0,0,1,0,0,.000,1.00,0,0,197440.0
28,0,0,0,0,0,0,0,0,0,0,0,.000,0,.000,.000,.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,883648.0
934,744,619,414,155,10,126,1022,367,11,751,19,.241,3116,.323,.418,.741,18,28,.609,69,14847,3524,1304,421,1327,1,19,.315,1.20,2,24.73,37184.0
80,0,0,0,0,0,0,0,0,0,0,0,.000,0,.000,.000,.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,376256.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159360.0
33,0,0,0,0,0,0,1,0,0,0,0,.000,1,.000,.000,.000,0,0,0,0,3,1,0,0,2,0,0,0,0,0,0,549824.0
1026,552,1029,456,171,15,195,1074,247,8,771,49,.227,3393,.287,.459,.746,12,22,.647,44,14198,3723,1557,566,1670,0,33,.267,0.54,1,17.40,232576.0
28,5,0,0,0,0,0,6,0,0,0,0,.000,9,.000,.000,.000,0,0,0,0,41,11,0,0,8,2,0,.000,5.00,0,0,86336.0
89,0,0,0,0,0,0,0,0,0,0,0,.000,0,.000,.000,.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,388160.0
877,450,500,287,96,15,65,671,119,6,469,37,.228,2053,.281,.385,.666,32,81,.717,36,8652,2247,790,223,897,23,14,.304,0.90,1,31.58,557312.0
698,1,0,1,0,0,0,1,0,0,0,0,.000,2,.000,.000,.000,0,0,0,0,9,2,0,0,2,0,0,.000,1.00,0,0,870784.0
232,78,23,11,4,0,1,147,11,0,22,0,.091,242,.130,.120,.250,0,0,0,2,1067,281,29,13,147,28,0,.223,3.39,0,242.00,787968.0
906,666,857,480,176,5,151,1010,359,12,821,12,.246,3331,.320,.438,.758,23,52,.693,63,14970,3727,1460,484,1487,4,19,.306,0.78,2,22.06,208256.0
180,0,0,0,0,0,0,0,0,0,0,0,.000,0,.000,.000,.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,346112.0
218,192,104,66,27,1,19,145,42,1,159,2,.267,595,.315,.412,.727,1,5,.833,20,2579,644,245,79,285,0,5,.321,1.85,0,31.32,406848.0
355,1,2,0,0,0,0,3,1,0,0,0,.000,6,.143,.000,.143,0,0,0,0,27,7,0,1,7,0,0,.000,0.50,0,0,317888.0
447,1,0,0,0,0,0,0,0,0,0,0,.000,1,.000,.000,.000,0,0,0,0,4,1,0,0,0,0,0,.000,1.00,0,0,259136.0
20,16,6,2,1,0,0,13,6,0,8,2,.186,43,.314,.209,.523,0,0,0,1,200,51,9,4,22,0,0,.267,2.67,0,0,139904.0
294,169,186,132,44,4,50,390,78,3,227,34,.235,965,.313,.445,.758,8,20,.714,22,4406,1084,429,133,449,2,5,.334,0.91,0,19.30,85568.0
372,0,0,0,0,0,0,0,0,0,0,0,.000,0,.000,.000,.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,447936.0
1684,1559,1458,674,295,44,147,1294,544,75,1404,59,.249,5646,.318,.395,.713,34,47,.580,121,24123,6318,2228,748,2603,7,62,.295,1.07,0,38.41,937344.0
1059,834,962,519,178,14,120,826,405,9,863,139,.250,3453,.349,.414,.763,11,50,.820,71,16796,4029,1429,460,1419,1,31,.293,0.87,0,28.78,878336.0
77,7,4,1,0,0,0,19,4,0,1,0,.038,26,.167,.038,.205,0,0,0,0,148,35,1,0,11,5,0,.143,1.75,0,0,134208.0
264,0,0,0,0,0,0,2,1,0,0,0,.000,2,.333,.000,.333,0,0,0,0,15,3,0,0,3,0,0,0,0,0,0,782592.0
54,0,0,0,0,0,0,0,0,0,0,0,.000,0,.000,.000,.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400128.0
32,2,1,1,0,0,1,1,0,0,3,0,.500,6,.429,1.000,1.429,0,0,0,0,12,7,6,5,2,0,1,.400,2.00,0,6.00,956096.0
2147,1867,2189,1248,433,50,321,1787,1126,69,2168,92,.273,7936,.367,.462,.829,89,220,.712,138,37627,9229,3664,1104,2895,3,72,.313,0.85,0,24.72,817920.0
229,51,30,12,5,1,0,55,3,0,20,0,.145,138,.162,.196,.358,0,0,0,1,515,159,27,4,68,17,1,.238,1.70,0,0,567104.0
353,106,30,15,5,0,0,159,12,0,24,2,.085,283,.128,.102,.230,0,0,0,2,1247,333,29,7,173,35,1,.192,3.53,0,0,11392.0
157,32,7,1,1,0,0,16,1,0,7,0,.137,51,.154,.157,.311,0,0,0,1,186,63,8,5,28,11,0,.200,4.57,0,0,316416.0
39,19,18,13,6,0,5,55,8,0,24,1,.207,116,.264,.388,.652,0,0,0,1,535,125,45,20,48,0,0,.339,1.06,0,23.20,139136.0
