gamesPlayed,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,groundIntoDoublePlay,numberOfPitches,plateAppearances,totalBases,rbi,leftOnBase,sacBunts,sacFlies,babip,groundOutsToAirouts,catchersInterference,atBatsPerHomeRun,player_numeric
141,0,0,0,0,0,0,0,0,0,0,0,.000,0,.000,.000,.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,403392.0
625,379,407,187,76,9,22,312,129,5,330,19,.237,1394,.307,.352,.659,8,19,.704,21,6069,1578,490,151,591,17,17,.286,0.93,2,63.36,413888.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237184.0
1845,2139,2014,1169,433,31,232,1052,605,46,2261,76,.306,7392,.362,.467,.829,92,318,.776,197,28327,8147,3452,821,2450,26,48,.330,1.06,0,31.86,587776.0
185,0,0,0,0,0,0,0,0,0,0,0,.000,0,.000,.000,.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138880.0
723,486,490,283,112,15,41,571,243,9,516,14,.252,2046,.334,.382,.716,15,22,.595,29,9371,2320,781,204,754,6,11,.329,0.99,0,49.90,850368.0
469,461,391,216,70,6,48,342,78,2,397,36,.251,1580,.300,.394,.694,15,52,.776,31,6122,1705,623,195,727,2,9,.291,1.18,0,32.92,135232.0
619,523,357,185,63,1,46,398,168,12,400,34,.241,1660,.321,.363,.684,3,4,.571,57,7261,1880,603,202,747,3,15,.288,1.46,0,36.09,585600.0
473,499,318,267,96,5,71,445,213,11,476,11,.275,1728,.357,.460,.817,3,20,.870,50,7789,1962,795,254,709,1,9,.332,1.57,0,24.34,483904.0
26,14,13,5,1,0,0,23,5,0,7,0,.123,57,.194,.140,.334,0,0,0,2,255,62,8,4,31,0,0,.206,1.08,0,0,616960.0
1238,955,1411,487,203,5,160,601,300,10,1030,43,.261,3952,.317,.436,.753,3,6,.667,102,17195,4340,1723,559,1813,3,42,.269,0.68,0,24.70,994112.0
83,0,0,0,0,0,0,1,1,0,0,0,.000,1,.500,.000,.500,0,0,0,0,10,2,0,0,2,0,0,0,0,0,0,259072.0
450,393,329,134,61,7,16,316,54,1,391,2,.278,1406,.303,.366,.669,4,7,.636,24,5386,1485,514,156,502,10,13,.345,1.19,0,87.88,825728.0
424,344,307,149,71,4,37,284,100,8,316,8,.254,1243,.313,.407,.720,1,2,.667,27,5343,1359,506,161,537,4,4,.301,1.12,0,33.60,861824.0
